,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_Combined,Avg_Item_Outlet_Sales,category_by_sales,Item_Outlet_Sales
8524,FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,1760.275725
8525,FDW14,8.3,Regular,0.038427677,Dairy,87.3198,OUT017,6,Medium,Tier 2,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,1346.788395
8526,NCN55,14.6,Non-Edible,0.099574908,Others,241.7538,OUT010,15,Medium,Tier 3,Grocery Store,Non-Consumable,1162.562891,Low_Sales_Item_Type,645.6674894
8527,FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,1842.895485
8528,FDY38,13.93290191,Regular,0.118599314,Dairy,234.23,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1340.311665,High_Sales_Item_Type,5914.704222
8529,FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,2077.911789
8530,FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1165.308787,Low_Sales_Item_Type,655.3459672
8531,FDC48,10.03119577,Low Fat,0.015782495,Baking Goods,81.0592,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1165.308787,Low_Sales_Item_Type,1891.312773
8532,FDN33,6.305,Regular,0.123365446,Snack Foods,95.7436,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,1269.276223
8533,FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,2902.504952
8534,FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,1888.059265
8535,FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,1444.558469
8536,NCC54,18.05858931,Non-Edible,0.171079215,Health and Hygiene,240.4196,OUT019,28,Small,Tier 1,Grocery Store,Non-Consumable,1218.181979,Low_Sales_Item_Type,753.8326703
8537,FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1329.897088,High_Sales_Item_Type,1909.269128
8538,DRL59,16.75,Low Fat,0.021206464,Hard Drinks,52.0298,OUT013,26,High,Tier 3,Supermarket Type1,Drinks,1264.622727,Low_Sales_Item_Type,792.3108819
8539,FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,2399.743103
8540,FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1672.676622,High_Sales_Item_Type,3900.703328
8541,DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,4,Medium,Tier 3,Supermarket Type2,Drinks,1229.886669,Low_Sales_Item_Type,3357.43608
8542,NCM42,6.12748296,Non-Edible,0.028184344,Household,109.6912,OUT027,28,Medium,Tier 3,Supermarket Type3,Non-Consumable,1327.838316,High_Sales_Item_Type,2650.599138
8543,FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.7136,OUT010,15,Small,Tier 3,Grocery Store,Food,1373.949767,High_Sales_Item_Type,504.9738953
8544,FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008,OUT013,26,High,Tier 3,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,2855.819576
8545,NCJ31,19.2,Non-Edible,0.182619235,Others,239.9196,OUT035,9,Small,Tier 2,Supermarket Type1,Non-Consumable,1162.562891,Low_Sales_Item_Type,3947.993316
8546,FDG52,13.65,Low Fat,0.065630844,Frozen Foods,47.7402,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1280.318926,Low_Sales_Item_Type,763.0125237
8547,NCL19,15.9666819,Non-Edible,0.027447057,Others,142.347,OUT019,28,Small,Tier 1,Grocery Store,Non-Consumable,1162.562891,Low_Sales_Item_Type,330.859593
8548,FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,3309.977097
8549,FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928,OUT010,15,Medium,Tier 3,Grocery Store,Food,1373.949767,High_Sales_Item_Type,461.0009556
8550,NCF19,13,Non-Edible,0.035102094,Household,47.6034,OUT035,9,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,715.0290149
8551,NCE06,5.825,Non-Edible,0.091485232,Household,161.3894,OUT046,16,Small,Tier 1,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,2514.798258
8552,DRC27,13.8,Low Fat,0.058102469,Dairy,244.6802,OUT046,16,Small,Tier 1,Supermarket Type1,Drinks,1340.311665,High_Sales_Item_Type,3467.850912
8553,FDE21,12.8,Low Fat,0.022940349,Fruits and Vegetables,116.5492,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,2008.381176
8554,NCR42,8.151798319,Non-Edible,0.06737681,Household,32.09,OUT019,28,Small,Tier 1,Grocery Store,Non-Consumable,1327.838316,High_Sales_Item_Type,90.44777065
8555,FDX51,9.5,Regular,0.022148582,Meat,194.9452,OUT018,4,Medium,Tier 3,Supermarket Type2,Food,1246.692408,Low_Sales_Item_Type,2590.244363
8556,NCR06,12.5,Non-Edible,0.006792707,Household,42.4112,OUT018,4,Medium,Tier 3,Supermarket Type2,Non-Consumable,1327.838316,High_Sales_Item_Type,534.3627477
8557,FDU31,10.03119577,Regular,0.024870035,Fruits and Vegetables,217.7508,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1400.923903,High_Sales_Item_Type,5655.952946
8558,FDU59,5.78,Low Fat,0.096931426,Breads,164.2552,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1329.897088,High_Sales_Item_Type,2218.28684
8559,FDR03,15.9666819,Regular,0.008693632,Meat,205.098,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1246.692408,Low_Sales_Item_Type,5381.059962
8560,FDS49,8.151798319,Low Fat,0.078961284,Canned,80.3644,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1332.243074,High_Sales_Item_Type,2421.627487
8561,FDD48,10.395,Low Fat,0.050479463,Baking Goods,114.0176,OUT010,15,Medium,Tier 3,Grocery Store,Food,1165.308787,Low_Sales_Item_Type,221.7233469
8562,NCF18,18.35,Non-Edible,0.089485918,Household,192.1504,OUT017,6,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,3101.072162
8563,NCD43,8.151798319,Non-Edible,0.01594238,Household,103.3964,OUT027,28,Medium,Tier 3,Supermarket Type3,Non-Consumable,1327.838316,High_Sales_Item_Type,2404.621453
8564,NCD54,21.1,Non-Edible,0.029127115,Household,143.3786,OUT018,4,Medium,Tier 3,Supermarket Type2,Non-Consumable,1327.838316,High_Sales_Item_Type,1960.673945
8565,FDY19,19.75,Low Fat,0.069236421,Fruits and Vegetables,116.6466,OUT010,15,Medium,Tier 3,Grocery Store,Food,1400.923903,High_Sales_Item_Type,228.687968
8566,NCY54,8.43,Non-Edible,0.178699961,Household,173.9422,OUT017,6,Small,Tier 2,Supermarket Type1,Non-Consumable,1327.838316,High_Sales_Item_Type,2543.533477
8567,NCL19,15.35,Non-Edible,0.015740089,Others,144.847,OUT018,4,Medium,Tier 3,Supermarket Type2,Non-Consumable,1162.562891,Low_Sales_Item_Type,2098.252215
8568,FDP23,6.71,Low Fat,0.059565107,Breads,217.2166,OUT010,15,Medium,Tier 3,Grocery Store,Food,1329.897088,High_Sales_Item_Type,526.4362805
8569,FDC26,10.195,Low Fat,0.126277921,Canned,112.1886,OUT013,26,High,Tier 3,Supermarket Type1,Food,1332.243074,High_Sales_Item_Type,1933.11273
8570,FDR14,11.65,Low Fat,0.291322397,Dairy,55.8298,OUT010,15,Medium,Tier 3,Grocery Store,Food,1340.311665,High_Sales_Item_Type,171.7306904
8571,NCS41,12.85,Non-Edible,0.053433908,Health and Hygiene,183.2608,OUT035,9,Small,Tier 2,Supermarket Type1,Non-Consumable,1218.181979,Low_Sales_Item_Type,3089.737437
8572,FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.146,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1280.318926,Low_Sales_Item_Type,3696.432547
8573,FDU34,18.25,Low Fat,0.075194929,Snack Foods,124.9046,OUT046,16,Small,Tier 1,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,2053.637641
8574,DRH11,5.98,Low Fat,0.075557965,Hard Drinks,57.0614,OUT046,16,Small,Tier 1,Supermarket Type1,Drinks,1264.622727,Low_Sales_Item_Type,885.9207804
8575,FDM03,12.65,Low Fat,0.122928415,Meat,106.6938,OUT013,26,High,Tier 3,Supermarket Type1,Food,1246.692408,Low_Sales_Item_Type,1988.94537
8576,FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,3411.591626
8577,FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,OUT017,6,Small,Tier 2,Supermarket Type1,Food,1400.923903,High_Sales_Item_Type,2050.64173
8578,FDV44,8.151798319,Regular,0.039651481,Fruits and Vegetables,188.7188,OUT027,28,Medium,Tier 3,Supermarket Type3,Food,1400.923903,High_Sales_Item_Type,4847.677499
8579,FDG02,7.855,Low Fat,0.011278673,Canned,188.8188,OUT049,14,Medium,Tier 1,Supermarket Type1,Food,1332.243074,High_Sales_Item_Type,2942.236405
8580,FDA09,13.35,Regular,0.06595278,Snack Foods,179.666,OUT013,26,High,Tier 3,Supermarket Type1,Food,1373.949767,High_Sales_Item_Type,3591.31595
8581,FDT04,17.25,Low Fat,0.106952661,Frozen Foods,38.3822,OUT013,26,High,Tier 3,Supermarket Type1,Food,1280.318926,Low_Sales_Item_Type,557.046911
8582,FDL58,6.12748296,Regular,0.129825457,Snack Foods,263.2568,OUT019,28,Small,Tier 1,Grocery Store,Food,1373.949767,High_Sales_Item_Type,483.0284968
8583,FDE52,10.395,Regular,0.029947409,Dairy,90.1514,OUT045,11,Small,Tier 2,Supermarket Type1,Food,1340.311665,High_Sales_Item_Type,1402.491472
8584,FDW12,8.315,Regular,0.035565457,Baking Goods,144.8444,OUT035,9,Small,Tier 2,Supermarket Type1,Food,1165.308787,Low_Sales_Item_Type,2672.191148
