Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Avg_Item_Outlet_Sales,category_by_sales,Outlet
156,9.3,0,0.016047301,Dairy,249.8092,OUT049,14,1,0,1,1977,1,1340.311665,0,9
8,5.92,2,0.019278216,Soft Drinks,48.2692,OUT018,4,1,2,2,2317,0,1229.886669,1,3
662,17.5,0,0.016760075,Meat,141.618,OUT049,14,1,0,1,913,1,1246.692408,1,9
1121,19.2,2,0.06595278,Fruits and Vegetables,182.095,OUT010,15,1,2,0,3186,1,1400.923903,0,0
1297,8.93,1,0.06595278,Household,53.8614,OUT013,26,0,2,1,3489,2,1327.838316,0,1
758,10.395,2,0.06595278,Baking Goods,51.4008,OUT018,4,1,2,2,2772,1,1165.308787,1,3
696,13.65,2,0.012741089,Snack Foods,57.6588,OUT013,26,0,2,1,1811,1,1373.949767,0,1
738,18.05858931,0,0.127469857,Snack Foods,107.7622,OUT027,28,1,2,3,2126,1,1373.949767,0,5
440,16.2,2,0.016687114,Frozen Foods,96.9726,OUT045,11,2,1,1,72,1,1280.318926,1,7
990,19.2,2,0.09444959,Frozen Foods,187.8214,OUT017,6,2,1,1,2445,1,1280.318926,1,2
1171,11.8,0,0.06595278,Fruits and Vegetables,45.5402,OUT049,14,1,0,1,446,1,1400.923903,0,9
147,18.5,2,0.045463773,Dairy,144.1102,OUT046,16,2,0,1,979,1,1340.311665,0,8
1142,15.1,2,0.1000135,Fruits and Vegetables,145.4786,OUT049,14,1,0,1,507,1,1400.923903,0,9
904,17.6,2,0.047257328,Snack Foods,119.6782,OUT046,16,2,0,1,949,1,1373.949767,0,8
375,16.35,0,0.0680243,Fruits and Vegetables,196.4426,OUT013,26,0,2,1,815,1,1400.923903,0,1
767,9,2,0.069088961,Breakfast,56.3614,OUT046,16,2,0,1,470,1,1248.919095,1,8
1280,11.8,1,0.008596051,Health and Hygiene,115.3492,OUT018,4,1,2,2,536,2,1218.181979,1,3
767,9,2,0.069196376,Breakfast,54.3614,OUT049,14,1,0,1,3164,1,1248.919095,1,9
79,8.151798319,0,0.034237682,Hard Drinks,113.2834,OUT027,28,1,2,3,1062,0,1264.622727,1,5
968,13.35,0,0.10249212,Dairy,230.5352,OUT035,9,2,1,1,1369,1,1340.311665,0,6
666,18.85,2,0.138190277,Snack Foods,250.8724,OUT013,26,0,2,1,1999,1,1373.949767,0,1
1076,8.151798319,2,0.035399923,Baking Goods,144.5444,OUT027,28,1,2,3,2143,1,1165.308787,1,5
1278,14.6,1,0.025698134,Household,196.5084,OUT035,9,2,1,1,505,2,1327.838316,0,6
259,15.9666819,0,0.057556998,Baking Goods,107.6938,OUT019,28,2,0,0,945,1,1165.308787,1,4
843,13.85,2,0.025896485,Frozen Foods,165.021,OUT046,16,2,0,1,2150,1,1280.318926,1,8
1294,13,1,0.099887103,Household,45.906,OUT017,6,2,1,1,3330,2,1327.838316,0,2
1024,7.645,2,0.066693437,Snack Foods,42.3112,OUT035,9,2,1,1,63,1,1373.949767,0,6
101,11.65,0,0.019356132,Hard Drinks,39.1164,OUT013,26,0,2,1,1589,0,1264.622727,1,1
350,5.925,2,0.161466534,Dairy,45.5086,OUT010,15,1,2,0,659,1,1340.311665,0,0
244,13.93290191,2,0.072221801,Canned,43.6454,OUT019,28,2,0,0,226,1,1332.243074,0,4
1048,19.25,0,0.170348551,Dairy,55.7956,OUT010,15,1,2,0,542,1,1340.311665,0,0
1480,18.6,1,0.080829372,Health and Hygiene,96.4436,OUT018,4,1,2,2,1365,2,1218.181979,1,3
756,18.7,0,0.06595278,Snack Foods,256.6672,OUT018,4,1,2,2,1581,1,1373.949767,0,3
706,17.85,0,0.06595278,Breads,93.1436,OUT045,11,2,1,1,969,1,1329.897088,0,7
64,17.5,0,0.097904029,Soft Drinks,174.8738,OUT046,16,2,0,1,902,0,1229.886669,1,8
1533,10,1,0.089291137,Health and Hygiene,146.7102,OUT049,14,1,0,1,2007,2,1218.181979,1,9
1032,20.08910944,2,0.059511812,Fruits and Vegetables,128.0678,OUT027,28,1,2,3,1402,1,1400.923903,0,5
143,8.85,2,0.113123893,Soft Drinks,122.5388,OUT018,4,1,2,2,525,0,1229.886669,1,3
1124,6.12748296,2,0.123111453,Snack Foods,36.9874,OUT027,28,1,2,3,2052,1,1373.949767,0,5
214,15.9666819,0,0.026480954,Snack Foods,87.6198,OUT027,28,1,2,3,973,1,1373.949767,0,5
968,13.35,0,0.102511504,Dairy,230.6352,OUT046,16,2,0,1,1814,1,1340.311665,0,8
567,9.8,0,0.02681843,Meat,126.002,OUT013,26,0,2,1,953,1,1246.692408,1,1
180,13.6,0,0.117818348,Snack Foods,192.9136,OUT049,14,1,0,1,1218,1,1373.949767,0,9
236,21.35,0,0.069102831,Canned,259.9278,OUT018,4,1,2,2,3083,1,1332.243074,0,3
611,12.15,2,0.042277867,Canned,126.5046,OUT013,26,0,2,1,1975,1,1332.243074,0,1
641,6.42,0,0.089498926,Dairy,178.1002,OUT010,15,1,2,0,1896,1,1340.311665,0,0
1438,19.6,1,0.06595278,Health and Hygiene,153.3024,OUT045,11,2,1,1,1150,2,1218.181979,1,7
1057,10,0,0.025879577,Canned,265.2226,OUT045,11,2,1,1,2850,1,1332.243074,0,7
586,15.85,2,0.121632721,Baking Goods,60.622,OUT046,16,2,0,1,1256,1,1165.308787,1,8
869,10.03119577,2,0.255394896,Dairy,196.8794,OUT019,28,2,0,0,3259,1,1340.311665,0,4
1378,7.39,1,0.067779712,Health and Hygiene,143.8812,OUT046,16,2,0,1,1623,2,1218.181979,1,8
642,10.195,0,0.159803853,Frozen Foods,141.5154,OUT013,26,0,2,1,3345,1,1280.318926,1,1
830,9.895,2,0.028696932,Canned,117.0492,OUT013,26,0,2,1,3298,1,1332.243074,0,1
177,10.895,0,0.065041581,Fruits and Vegetables,196.3794,OUT017,6,2,1,1,1616,1,1400.923903,0,2
1442,12.15,1,0.028760013,Household,151.4708,OUT017,6,2,1,1,2487,2,1327.838316,0,2
553,7.905,0,0.010053105,Snack Foods,249.0408,OUT018,4,1,2,2,2973,1,1373.949767,0,3
1538,9.195,1,0.048157338,Household,106.1622,OUT045,11,2,1,1,931,2,1327.838316,0,7
107,8.365,0,0.071958197,Hard Drinks,38.0506,OUT049,14,1,0,1,3283,0,1264.622727,1,9
1183,15.1,0,0.173481304,Snack Foods,194.511,OUT046,16,2,0,1,2532,1,1373.949767,0,8
485,6.12748296,0,0.061082177,Canned,180.0344,OUT019,28,2,0,0,3387,1,1332.243074,0,4
629,10,0,0.06595278,Fruits and Vegetables,246.9144,OUT018,4,1,2,2,1655,1,1400.923903,0,3
1039,7.97,2,0.040071131,Meat,87.3514,OUT045,11,2,1,1,62,1,1246.692408,1,7
361,6.12748296,0,0.012090074,Fruits and Vegetables,38.2848,OUT027,28,1,2,3,2499,1,1400.923903,0,5
1199,15.9666819,2,0.15028599,Frozen Foods,51.0692,OUT019,28,2,0,0,410,1,1280.318926,1,4
1202,18.05858931,0,0.026015519,Snack Foods,255.8356,OUT027,28,1,2,3,1232,1,1373.949767,0,5
266,17.7,0,0.195068226,Snack Foods,185.4266,OUT010,15,2,2,0,704,1,1373.949767,0,0
441,19.35,0,0.033082215,Meat,172.5738,OUT035,9,2,1,1,2512,1,1246.692408,1,6
1218,13.65,2,0.078946455,Dairy,186.024,OUT045,11,2,1,1,109,1,1340.311665,0,7
72,17.6,0,0.041700756,Soft Drinks,164.8526,OUT045,11,2,1,1,1061,0,1229.886669,1,7
1343,8.645,1,0.143422643,Health and Hygiene,95.841,OUT046,16,2,0,1,859,2,1218.181979,1,8
541,15.6,2,0.105296072,Snack Foods,170.1764,OUT046,16,2,0,1,1814,1,1373.949767,0,8
586,15.85,2,0.121531501,Baking Goods,59.222,OUT013,26,0,2,1,2902,1,1165.308787,1,1
