,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Avg_Item_Outlet_Sales,category_by_sales,Outlet
0,156,9.3,0,0.016047301,Dairy,249.8092,OUT049,14,1,0,1,1977,1,1340.311665,0,9
1,8,5.92,2,0.019278216,Soft Drinks,48.2692,OUT018,4,1,2,2,2317,0,1229.886669,1,3
2,662,17.5,0,0.016760075,Meat,141.618,OUT049,14,1,0,1,913,1,1246.6924080000001,1,9
3,1121,19.2,2,0.06595278,Fruits and Vegetables,182.095,OUT010,15,1,2,0,3186,1,1400.9239029999999,0,0
4,1297,8.93,1,0.06595278,Household,53.8614,OUT013,26,0,2,1,3489,2,1327.838316,0,1
5,758,10.395,2,0.06595278,Baking Goods,51.4008,OUT018,4,1,2,2,2772,1,1165.308787,1,3
6,696,13.65,2,0.012741088999999999,Snack Foods,57.6588,OUT013,26,0,2,1,1811,1,1373.949767,0,1
7,738,18.05858931,0,0.127469857,Snack Foods,107.7622,OUT027,28,1,2,3,2126,1,1373.949767,0,5
8,440,16.2,2,0.016687114,Frozen Foods,96.9726,OUT045,11,2,1,1,72,1,1280.318926,1,7
9,990,19.2,2,0.09444959,Frozen Foods,187.8214,OUT017,6,2,1,1,2445,1,1280.318926,1,2
10,1171,11.8,0,0.06595278,Fruits and Vegetables,45.5402,OUT049,14,1,0,1,446,1,1400.9239029999999,0,9
11,147,18.5,2,0.045463773,Dairy,144.1102,OUT046,16,2,0,1,979,1,1340.311665,0,8
12,1142,15.1,2,0.1000135,Fruits and Vegetables,145.4786,OUT049,14,1,0,1,507,1,1400.9239029999999,0,9
13,904,17.6,2,0.047257328,Snack Foods,119.6782,OUT046,16,2,0,1,949,1,1373.949767,0,8
14,375,16.35,0,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,26,0,2,1,815,1,1400.9239029999999,0,1
15,767,9.0,2,0.06908896099999999,Breakfast,56.3614,OUT046,16,2,0,1,470,1,1248.919095,1,8
